ЭЛ5-Энерго;B;ELFV;1;0.001
+МосЭнерго;B;MSNG;1;0.0005
Юнипро ао;B;UPRO;1;0.001
ТГК-1;B;TGKA;1;0.00001
ТГК-2;B;TGKB;1;0.00001
ТГК-14;B;TGKN;1;0.00001
МОЭСК;B;MSRS;1;0.001
Ленэнерго;B;LSNG;1;0.01
Ленэнерго-п;B;LSNGP;1;0.001
ТНС Энерго;B;TNSE;1;5
ТНС энерго Воронеж;B;VRSB;1;5
ТНС энерго Воронеж;B;VRSBP;1;5
ТНС энерго Марий Эл;B;MISB;1;5
ТНС энерго Марий Эл;B;MISBP;1;5
ТНС энерго Кубань;B;KBSB;1;5
ТНС энерго Ярославль;B;YRSB;1;5
ТНС энерго Ростов-на-Дону;B;RTSB;1;5
ТНС энерго Ростов-на-Дону;B;RTSBP;1;5
МРСК ЦП;B;MRKP;1;0.001
МРСК Урала;B;MRKU;1;0.001
МРСК Центр;B;MRKC;1;0.001
МРСК Вол;B;MRKV;1;0.001
Сахэнер ао;B;SLEN;1;0.01
Эн+;B;ENPG;1;0.1
Красноярскэнергосбыт;B;KRSB;1;0.1
Красноярскэнергосбыт пр;B;KRSBP;1;0.1
Кузбассэнергосбыт ао;B;KZSB;1;0.1
ЛЭСК ао;B;LPSB;1;0.1
ВолгЭнСб-п;B;VGSBP;1;0.1
ВолгЭнСб;B;VGSB;1;0.1
СамарЭн-ап;B;SAGOP;1;0.1
СамарЭн-ао;B;SAGO;1;0.1
АстрЭнСб;B;ASSB;1;0.1
СаратЭн-ао;B;SARE;1;0.1
Русснефть;B;RNFT;1;1
Транснефть ап;B;TRNFP;1;1
ЕвроТранс;B;EUTR;1;1
ЧеркизГ-ао;B;GCHE;1;1
РусАгро;B;RAGR;1;1
Лента;B;LENT;1;0.5
М.видео;B;MVID;1;0.1
Русская Аквакультура;B;AQUA;1;1
Белуга ао;B;BELU;1;1
Абрау-Дюрсо;B;ABRD;1;1
Ozon Holdings PLC;B;OZON;1;1
FixPrice;B;FIXR;1;1
Henderson;B;HNFG;1;1
Все Инструменты;B;VSEH;1;1
ВСМПО-АВСМ;B;VSMO;1;1
ТМК ао;B;TRMK;1;0.05
Селигдар ао;B;SELG;1;0.01
Русолово;B;ROLO;1;0.01
Мечел ПАО ао;B;MTLR;1;0.01
Мечел ПАО ап;B;MTLRP;1;0.1
Белон ао;B;BLNG;1;0.001
ЮжКузб. ао;B;UKUZ;1;0.1
ЮУНК ао;B;UNKL;1;0.1
Южуралзолото;B;UGLD;1;0.01
Акрон;B;AKRN;1;5
ФосАгро ао;B;PHOR;1;1
Нижнекамскнефтехим;B;NKNC;1;0.01
Нижнекамскнефтехим ап;B;NKNCP;1;0.01
Куйбышевазот;B;KAZT;1;0.1
Куйбышевазот;B;KAZTP;1;0.1
Казаньоргсинтез;B;KZOS;1;0.1
Казаньоргсинтез ап;B;KZOSP;1;0.1
ВХЗ-ао;B;VLHZ;1;0.1
ДВМП ао;B;FESH;1;0.001
НМТП ао;B;NMTP;1;0.01
НКХП ао;B;NKHP;1;1
Globaltruck;B;GTRK;1;1
Совкомфлот;B;FLOT;1;1
Whoosh;B;WUSH;1;1
Система ао;B;AFKS;1;0.005
Яндекс;B;YDEX;1;1
VK гдр;B;VKCO;1;1
HeadHunter Group гдр;B;HEAD;1;1
Группа Позитив;B;POSI;1;0.01
Элемент;B;ELMT;1;0.01
IVA Technologies;B;IVAT;1;0.01
Астра ао;B;ASTR;1;0.01
Аренадаты;B;DATA;1;0.01
Базис;B;BAZA;1;0.01
ЛСР ао;B;LSRG;1;0.5
ПИК;B;PIKK;1;1
Эталон;B;ETLN;1;1
Самолет ао;B;SMLT;1;1
Ростел -ап;B;RTKMP;1;0.05
МГТС ао;B;MGTS;1;1
МГТС ап;B;MGTSP;1;1
Таттел. ао;B;TTLK;1;1
КАМАЗ;B;KMAZ;1;0.05
ОАК;B;UNAC;1;0.001
Иркут;B;IRKT;1;0.1
Объединенная Вагонная Компания;B;UWGN;1;1
Звезда;B;ZVEZ;1;0.01
ЭсЭфАй ао;B;SFIN;1;1
УК Арсагера;B;ARSA;1;1
Ренессанс;B;RENI;1;1
Банк СПб;B;BSPB;1;1
Банк СПб ап;B;BSPBP;1;1
МТС банк ао;B;MBNK;1;1
КузнецкийБ;B;KUZB;1;1
Банк Приморье;B;PRMB;1;1
РосДорБанк;B;RDRB;1;1
Банк Авангард;B;AVAN;1;1
Т-Техно ао;B;T;1;1
CarMoney;B;CARM;1;1
Совкомбанк;B;SVCB;1;0.1
Мосгорломбард;B;MGKL;1;1
ДОМ.РФ;B;DOMRF;1;1
В2В-РТС;B;BTBR;1;1
GEMC-гдр;B;GEMC;1;1
MDMG-гдр;B;MDMG;1;1
ЦМТ (Центр Международной Торговли);B;WTCM;1;1
Европейская Электротехника;B;EELT;1;1
ДИОД;B;DIOD;1;1
Саратовский НПЗ;B;KRKN;1;1
Саратовский НПЗ ап;B;KRKNP;1;1
Генетико;B;GECO;1;1
Промомед;B;PRMD;1;1
ОЗОН Фармацевтика;B;OZPH;1;1
Ламбумиз;B;LMBZ;1;1
